69,MA_lava06,Tx_MA_lava06.tga,0000088B
70,MA_lavarock,Tx_MA_lavarock.tga,0000088D
71,MA_lava02,Tx_MA_lava02.tga,0000088F
72,MA_lavaflow,Tx_MA_lavaflow.tga,00000891
73,MA_lava03,Tx_MA_lava03.tga,00000893
74,MA_lava04,Tx_MA_lava04.tga,00000895
75,MA_lava05,Tx_MA_lava05.tga,00000897
76,MA_lavacrust.tga,Tx_MA_lavacrust.tga,00000899
77,MA_sulphur_rock01,Tx_MA_sulphur_rock01.tga,0000089B
78,MA_sulphur_rock02,Tx_MA_sulphur_rock02.tga,0000089D
79,MA_sulphur_rock03,Tx_MA_sulphur_rock03.tga,0000089F
80,MA_sulphur_rock05,Tx_MA_sulphur_rock05.tga,000008A1
81,MA_sulphur_rock06,Tx_MA_sulphur_rock06.tga,000008A3
82,MA_sulphur_rock07,Tx_MA_sulphur_rock07.tga,000008A5
83,MA_sulphur_rock08,Tx_MA_sulphur_rock08.tga,000008A7
84,MA_sulphur_rock09,Tx_MA_sulphur_rock09.tga,000008A9
85,MA_lava,Tx_MA_lava.tga,000008AB
86,tx_lavacrust00.tga,tx_lavacrust00.tga,000008AD
87,lavacrust01.tga,tx_lavacrust01.tga,000008AF
88,lavacrust02.tga,tx_lavacrust02.tga,000008B1
89,Tx_BC_bank.tga,Tx_BC_bank.tga,000008B3
90,Tx_BC_dirt.tga,Tx_BC_dirt.tga,000008B5
91,Tx_BC_grass.tga,Tx_BC_grass.tga,000008B7
92,Tx_BC_moss.tga,Tx_BC_moss.tga,000008B9
93,Tx_BC_muck.tga,Tx_BC_muck.tga,000008BB
94,Tx_BC_mud.tga,Tx_BC_mud.tga,000008BD
95,Tx_BC_rock_01.tga,Tx_BC_rock_01.tga,000008BF
96,Tx_BC_rock_02.tga,Tx_BC_rock_02.tga,000008C1
97,Tx_BC_scrub.tga,Tx_BC_scrub.tga,000008C3
98,Tx_BC_undergrowth.tga,Tx_BC_undergrowth.tga,000008C5
99,Tx_BC_muck_01.tga,Tx_BC_muck_01.tga,000008C7
100,Tx_BC_rockyscrub.tga,Tx_BC_rockyscrub.tga,000008C9
101,MA_lavaridge,Tx_MA_lavaridge.tga,000008CB
102,Daedric Stone,Tx_Daed_road_02.tga,000008CD
103,Tx_BC_rock_03.tga,Tx_BC_rock_03.tga,000008CF
104,Tx_BC_rock_04.tga,Tx_BC_rock_04.tga,000008D1
105,WG_mainroad_01,Tx_WG_mainroad_01.tga,000008D3
106,Tx_AI_mainroad_01.tga,Tx_AI_mainroad_01.tga,000008D5
107,Tx_BC_mainroad_01.tga,Tx_BC_mainroad_01.tga,000008D7
